Taxon_Name	MeanBootstrapValue	MeanLengthMerged	PercentageAsPairs	Total
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Leotiomycetes_unidentified;f__Leotiomycetes_unidentified_1;g__Leotiomycetes_unidentified_1	0.725	291	0.0	1642
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Rhytismatales	0.53	297	0.0	1
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Rhytismatales;f__Rhytismataceae	0.6	294	0.0	1
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Rhytismatales;f__Rhytismataceae;g__Coccomyces	0.91	295	0.0	2
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Rhytismatales;f__Rhytismataceae;g__Lophodermium	0.52	296	0.0	3
d__Fungi;p__Ascomycota;c__Leotiomycetes;o__Rhytismatales;f__Rhytismataceae;g__Rhytismataceae_unidentified	1.0	293	0.0	23
d__Fungi;p__Ascomycota;c__Orbiliomycetes	0.657	321	0.0	47
d__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Dactylella	0.52	339	0.0	1
d__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Dactylellina	1.0	317	0.0	1
d__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Orbiliaceae_unidentified	0.82	315	0.0	2
d__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliomycetes_unidentified;f__Orbiliomycetes_unidentified_1;g__Orbiliomycetes_unidentified_1	0.6	388	0.0	3
d__Fungi;p__Ascomycota;c__Pezizomycetes	0.5	297	0.0	1
d__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales	0.54	321	0.0	36
d__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Discinaceae;g__Gyromitra	1.0	348	0.0	1
d__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Helvellaceae;g__Helvella	0.522	329	0.0	5
d__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Morchellaceae;g__Morchella	0.858	422	0.0	6
d__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Morchellaceae;g__Verpa	1.0	341	0.0	17
d__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Peziza	0.99	326	0.0	20
d__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Sarcosphaera	1.0	319	0.0	3
d__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizales_unidentified;g__Pezizales_unidentified_1	0.984	405	0.0	84
d__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae	0.697	319	0.0	53
d__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Gilkeya	1.0	313	0.0	2
